ticker,status,assets_missing,liabilities_missing,equity_missing
PG,perfect,False,False,False
PGR,perfect,False,False,False
PLD,perfect,False,False,False
PRU,perfect,False,False,False
PTC,perfect,False,False,False
PSA,perfect,False,False,False
PHM,perfect,False,False,False
PWR,perfect,False,False,False
QCOM,perfect,False,False,False
Q,perfect,False,False,False
RL,perfect,False,False,False
RJF,perfect,False,False,False
RDDT,perfect,False,False,False
RTX,perfect,False,False,False
O,perfect,False,False,False
REG,perfect,False,False,False
REGN,perfect,False,False,False
RF,perfect,False,False,False
RMD,perfect,False,False,False
RVTY,perfect,False,False,False
HOOD,perfect,False,False,False
ROL,perfect,False,False,False
ROP,perfect,False,False,False
RCL,perfect,False,False,False
SPGI,perfect,False,False,False
CRM,perfect,False,False,False
SNDK,perfect,False,False,False
SLB,perfect,False,False,False
STX,perfect,False,False,False
NOW,perfect,False,False,False
SPG,perfect,False,False,False
SWKS,perfect,False,False,False
SJM,perfect,False,False,False
SW,perfect,False,False,False
SNA,perfect,False,False,False
SOLV,perfect,False,False,False
SO,perfect,False,False,False
SBUX,perfect,False,False,False
STT,perfect,False,False,False
STLD,perfect,False,False,False
STE,perfect,False,False,False
SYK,perfect,False,False,False
SMCI,perfect,False,False,False
SYF,perfect,False,False,False
SNPS,perfect,False,False,False
TROW,perfect,False,False,False
TTWO,perfect,False,False,False
TPR,perfect,False,False,False
TEL,perfect,False,False,False
TDY,perfect,False,False,False
TER,perfect,False,False,False
TSLA,perfect,False,False,False
TXN,perfect,False,False,False
TPL,perfect,False,False,False
TXT,perfect,False,False,False
TKO,perfect,False,False,False
TTD,perfect,False,False,False
TSCO,perfect,False,False,False
TT,perfect,False,False,False
TDG,perfect,False,False,True
TRV,perfect,False,False,False
TRMB,perfect,False,False,False
TFC,perfect,False,False,False
TYL,perfect,False,False,False
USB,perfect,False,False,False
UBER,perfect,False,False,False
UDR,perfect,False,False,False
ULTA,perfect,False,False,False
UNP,perfect,False,False,False
URI,perfect,False,False,False
UNH,perfect,False,False,False
VEEV,perfect,False,False,False
VTR,perfect,False,False,False
VRSN,perfect,False,False,True
VRSK,perfect,False,False,False
VRTX,perfect,False,False,False
VRT,perfect,False,False,False
VTRS,perfect,False,False,False
VICI,perfect,False,False,False
V,perfect,False,False,False
VST,perfect,False,False,False
VMRK,perfect,False,False,False
VMC,perfect,False,False,False
WRB,perfect,False,False,False
WAB,perfect,False,False,False
WBD,perfect,False,False,False
WM,perfect,False,False,False
WAT,perfect,False,False,False
WFC,perfect,False,False,False
WELL,perfect,False,False,False
WST,perfect,False,False,False
WDC,perfect,False,False,False
WY,perfect,False,False,False
WSM,perfect,False,False,False
WTW,perfect,False,False,False
WDAY,perfect,False,False,False
WYNN,perfect,False,False,True
XYL,perfect,False,False,False
YUM,perfect,False,False,False
ZBRA,perfect,False,False,False
ZBH,perfect,False,False,False
ZTS,perfect,False,False,False
